GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0006457	4.65183047573947e-05	6.92740471869328	1.30566231104279	8	182	protein folding	BAG5;CANX;CCT2;DNAJA1;HSPA9;PPIL1;SACS;TCP1	0.0544626393304473
2	GO:0044085	4.89771936424886e-05	2.58400990780239	16.2705611068409	32	2268	cellular component biogenesis	ARL3;ATP6V1D;BAG5;BBS7;BHLHB9;C1QBP;CAND1;CCT2;CETN2;DRD1;G3BP2;HPRT1;HSPA9;NAP1L5;NAPB;NBR1;NDUFAF1;NDUFAF4;RAN;RPP14;RSL1D1;SACS;SAR1A;SKP1;STRAP;SYNJ1;TCP1;UBE2K;UQCRB;WDR12;XRCC5;YWHAZ	0.0544626393304473
3	GO:0006259	0.000137264451692241	3.42406966545546	5.08634383807328	15	709	DNA metabolic process	CACYBP;CCT2;CETN2;HMGB3;MAGEF1;MCM4;MORF4L2;POLE3;POLR2B;RAD21;RAN;TCP1;TSN;WDR48;XRCC5	0.0669143240578083
4	GO:0090666	0.00015185999975844	283.512195121951	0.02152190622598	2	3	scaRNA localization to Cajal body	CCT2;TCP1	0.0669143240578083
5	GO:0034622	0.000170301669927746	3.35206337509211	5.18677940046118	15	723	cellular protein-containing complex assembly	C1QBP;CAND1;CCT2;CETN2;G3BP2;NAP1L5;NAPB;NDUFAF1;NDUFAF4;SAR1A;STRAP;SYNJ1;TCP1;UBE2K;UQCRB	0.0669143240578083
6	GO:0070198	0.000268896240608281	28.6666666666667	0.12913143735588	3	18	protein localization to chromosome, telomeric region	CCT2;TCP1;XRCC5	0.0669143240578083
7	GO:0090383	0.000268896240608281	28.6666666666667	0.12913143735588	3	18	phagosome acidification	ATP6V1C1;ATP6V1D;ATP6V1E1	0.0669143240578083
8	GO:1904869	0.000302302498494995	141.743902439024	0.0286958749679734	2	4	regulation of protein localization to Cajal body	CCT2;TCP1	0.0669143240578083
9	GO:1904871	0.000302302498494995	141.743902439024	0.0286958749679734	2	4	positive regulation of protein localization to Cajal body	CCT2;TCP1	0.0669143240578083
10	GO:0016567	0.000342819779353196	3.4184599985701	4.33307712016398	13	604	protein ubiquitination	BAG5;BRAP;CAND1;DNAJA1;GID4;MAGEF1;MARCH9;PJA2;PSMA5;PSMD7;SKP1;UBE2K;WDR48	0.0669143240578083
