GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0050700	2.42374224150186e-06	67.5153284671533	0.108387427400068	4	9	CARD domain binding	CARD8;CASP1;CASP4;RIPK2	0.00124337976989045
2	GO:0097199	3.33034631787049e-05	83.7971014492754	0.0722582849333789	3	6	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	CASP1;CASP4;CASP8	0.0085423383053378
3	GO:0035325	9.16109129504365e-05	50.2695652173913	0.0963443799111719	3	8	Toll-like receptor binding	SYK;TLR1;TLR2	0.0134998675421422
4	GO:0004871	0.000105262125084929	2.42337668764278	13.259395285275	28	1101	signal transducer activity	AGTR1;C3AR1;CASP1;CASP4;CASP8;CD86;CLEC7A;FCGR1B;GPR65;IGSF6;IL13RA1;LILRB1;LPAR5;LPAR6;LYN;OSMR;PLCG2;PTPRC;RHOH;RIPK2;SYK;TGFBR1;TGFBR2;TLR1;TLR10;TLR2;TLR7;TRIM38	0.0134998675421422
5	GO:0097200	0.000192862795870593	35.9006211180124	0.120430474888965	3	10	cysteine-type endopeptidase activity involved in execution phase of apoptosis	CASP1;CASP4;CASP8	0.0197877228563228
6	GO:0097153	0.000262850178314104	31.4103260869565	0.132473522377861	3	11	cysteine-type endopeptidase activity involved in apoptotic process	CASP1;CASP4;CASP8	0.0224736902458559
7	GO:0030234	0.000563418425998427	2.48277283029235	8.93594123676119	20	742	enzyme regulator activity	ARHGAP15;ARHGAP25;ATP7A;CARD8;CASP1;CCNL1;CDKN2A;DOCK2;NCF2;NCKAP1L;PARP9;PROS1;RGS10;RGS18;RHOH;SOCS6;TAGAP;TFPI;TNFAIP8;USP6NL	0.0412905217910276
8	GO:0051219	0.000816826684915735	7.55711659663866	0.734625896822685	5	61	phosphoprotein binding	LYN;PLCG2;RB1;SAMSN1;SYK	0.0523790111702215
9	GO:0019864	0.00140628596996691	55.462829736211	0.0602152374444824	2	5	IgG binding	FCGR1B;FCGR3A	0.074315674478321
10	GO:0048365	0.00172800578611253	8.63035747707281	0.517851042022549	4	43	Rac GTPase binding	ATP7A;DOCK2;EPS8;NCF2	0.074315674478321
11	GO:0008047	0.00177527711221968	2.89586563307494	4.48001366586949	12	372	enzyme activator activity	ARHGAP15;ARHGAP25;ATP7A;CARD8;CASP1;DOCK2;NCF2;NCKAP1L;RGS10;RGS18;TAGAP;USP6NL	0.074315674478321
12	GO:0030695	0.00179340245823686	3.51663223140496	2.75785787495729	9	229	GTPase regulator activity	ARHGAP15;ARHGAP25;DOCK2;NCKAP1L;RGS10;RGS18;RHOH;TAGAP;USP6NL	0.074315674478321
13	GO:0004715	0.00188324321290092	8.41386861313869	0.529894089511445	4	44	non-membrane spanning protein tyrosine kinase activity	BTK;LYN;RIPK2;SYK	0.074315674478321
14	GO:0019904	0.0028538474771261	2.50804378405471	6.03356679193714	14	501	protein domain specific binding	CARD8;CASP1;CASP4;CASP8;DAPP1;HHEX;IKZF1;LILRB1;LYN;PLSCR1;RB1;RIPK2;SP100;SYK	0.103809625564528
15	GO:0005096	0.0031520199527677	3.50784653942549	2.44473864024599	8	203	GTPase activator activity	ARHGAP15;ARHGAP25;DOCK2;NCKAP1L;RGS10;RGS18;TAGAP;USP6NL	0.103809625564528
16	GO:0038023	0.00349582785533116	2.1419893777183	9.67056713358387	19	803	signaling receptor activity	AGTR1;C3AR1;CD86;CLEC7A;FCGR1B;GPR65;IGSF6;IL13RA1;LILRB1;LPAR5;LPAR6;OSMR;PTPRC;TGFBR1;TGFBR2;TLR1;TLR10;TLR2;TLR7	0.103809625564528
17	GO:0060089	0.00349582785533116	2.1419893777183	9.67056713358387	19	803	molecular transducer activity	AGTR1;C3AR1;CD86;CLEC7A;FCGR1B;GPR65;IGSF6;IL13RA1;LILRB1;LPAR5;LPAR6;OSMR;PTPRC;TGFBR1;TGFBR2;TLR1;TLR10;TLR2;TLR7	0.103809625564528
18	GO:0004716	0.00384517169458545	27.7242206235012	0.0963443799111719	2	8	signal transducer, downstream of receptor, with protein tyrosine kinase activity	LYN;SYK	0.103809625564528
